Project Name,Short Description,Project URL,Try it Out Links
Spatial Cityscape,A new style commnunication with Mixed Reality! Our app can provide re-experience with Mixed Reality and Virtual Reality. They can easily oversee and dive into their friend's experience.,https://devpost.com/software/spatial-cityscape,No links available
Get Kraken,"Dive into an exhilarating exercise experience! Battle a virtual Kraken with real-world exercises like push-ups, plunk, lunge and squats in an immersive pirate adventure for enjoyable fitness.",https://devpost.com/software/get-kraken,No links available
ROBOT PENGUIN ON THE ICE,A casual communication via robot penguin,https://devpost.com/software/ilxr,No links available
Rainbow Story,"Collaboration on paiting for Storybook. Family, friends enjoy the content.",https://devpost.com/software/rainbow-story,No links available
Magical Clay,We propose developing an app using MR goggles that lets users create virtual sculptures without physical clay.,https://devpost.com/software/magical-clay,No links available
SleepIn,Experience a new bedtime with SleepIn. Enjoy relaxing reading without using your hands through head tracking. Change your nightly routine with virtual pets.,https://devpost.com/software/sleepin-h6udyk,No links available
The True View,"""The True View"" expanding the value embedded in everything into the MR. Embodying the value of all things for a richer society.",https://devpost.com/software/the-true-view-yez9wh,No links available
MEMOREAROOM,"The new way to preserve your memories.Decorate your room with photos, emojis, and text, and save the entire space in a capsule.",https://devpost.com/software/memorearoom,No links available
SPRAY SCAPE,Color the World,https://devpost.com/software/spray-scape,No links available
HarmonyShpere,This application is a tool for composing music using various instruments within the MR space. Sounds are placed and visualized in the space.,https://devpost.com/software/harmonyshpere,No links available
Thoughts with a Piñata - KITERETSU,Have your loved one break the piñata and convey your feelings and thoughts from afar.,https://devpost.com/software/kiteretsu,No links available
Potential of Head-Mounted Computers and Robots,VR devices have no future if they are confined only within VR. We have created a system that allows VR to influence the physical world from within VR.,https://devpost.com/software/potential-of-head-mounted-computers-and-robots,No links available
